[90006.781] , Colors, 0.000276
[90006.781] , PlayerColors, 0.000379
[90006.781] , InterfaceModes, 0.000174
[90006.796] , AICityStrategies, 0.001065
[90006.796] , AIEconomicStrategies, 0.001473
[90006.796] , AIGrandStrategies, 0.000138
[90006.796] , AIMilitaryStrategies, 0.000874
[90006.796] , CitySpecializations, 0.000282
[90006.796] , TacticalMoves, 0.000113
[90006.796] , UnitAIInfos, 0.000089
[90006.796] , UnitCombatInfos, 0.000035
[90006.796] , BuildingClasses, 0.001105
[90006.843] , Buildings, 0.045557
[90006.843] , EmphasizeInfos, 0.000082
[90006.843] , Eras, 0.000173
[90006.843] , GameOptions, 0.000109
[90006.843] , GameSpeeds, 0.000151
[90006.843] , HandicapInfos, 0.000651
[90006.843] , HurryInfos, 0.000024
[90006.843] , MultiplayerOptions, 0.000023
[90006.843] , PlayerOptions, 0.000039
[90006.859] , Policies, 0.025746
[90006.859] , PolicyBranchTypes, 0.000180
[90006.859] , Processes, 0.000126
[90006.859] , Projects, 0.000289
[90006.859] , SmallAwards, 0.000013
[90006.859] , Specialists, 0.000169
[90006.859] , Victories, 0.000069
[90006.859] , Votes, 0.000044
[90006.859] , VoteSources, 0.000022
[90006.859] , Domains, 0.000019
[90006.875] , Leaders, 0.007837
[90006.875] , Routes, 0.000107
[90006.875] , Notifications, 0.000083
[90006.875] , Technologies, 0.005376
[90006.875] , Features, 0.000963
[90006.890] , Improvements, 0.004294
[90006.890] , ResourceClasses, 0.000017
[90006.890] , Resources, 0.002682
[90006.890] , Terrains, 0.000280
[90006.890] , Yields, 0.000042
[90006.890] , Automates, 0.000041
[90006.890] , Builds, 0.001798
[90006.890] , Commands, 0.000083
[90006.890] , Controls, 0.000220
[90006.890] , EntityEvents, 0.000572
[90006.890] , Missions, 0.000341
[90006.890] , MultiUnitFormations, 0.000578
[90006.890] , SpecialUnits, 0.000101
[90006.890] , UnitClasses, 0.000242
[90006.906] , UnitPromotions, 0.016810
[90006.953] , Units, 0.035596
[90006.953] , Civilizations, 0.014267
[90006.968] , MinorCivilizations, 0.001995
[90006.968] , Traits, 0.005906
[90006.968] , Religions, 0.000054
[90006.984] , Beliefs, 0.012683
[90006.984] , LeagueSpecialSessions, 0.000044
[90006.984] , LeagueNames, 0.000013
[90006.984] , LeagueProjects, 0.000032
[90006.984] , LeagueProjectRewards, 0.000053
[90006.984] , Resolutions, 0.000187
[90006.984] , PrefetchGameData, 0.193709
[90006.984] , UpdatePlayableCivilizationCounts, 0.000001
[90006.984] , SetGlobalActionInfo, 0.000095
[90007.015] , Colors, 0.000285
[90007.015] , PlayerColors, 0.000356
[90007.015] , InterfaceModes, 0.000172
[90007.015] , AICityStrategies, 0.001060
[90007.015] , AIEconomicStrategies, 0.001478
[90007.015] , AIGrandStrategies, 0.000142
[90007.015] , AIMilitaryStrategies, 0.000874
[90007.015] , CitySpecializations, 0.000281
[90007.015] , TacticalMoves, 0.000115
[90007.015] , UnitAIInfos, 0.000090
[90007.015] , UnitCombatInfos, 0.000035
[90007.015] , BuildingClasses, 0.001102
[90007.062] , Buildings, 0.044809
[90007.062] , EmphasizeInfos, 0.000081
[90007.062] , Eras, 0.000164
[90007.062] , GameOptions, 0.000095
[90007.062] , GameSpeeds, 0.000145
[90007.062] , HandicapInfos, 0.000594
[90007.062] , HurryInfos, 0.000023
[90007.062] , MultiplayerOptions, 0.000022
[90007.062] , PlayerOptions, 0.000041
[90007.078] , Policies, 0.025828
[90007.093] , PolicyBranchTypes, 0.000178
[90007.093] , Processes, 0.000126
[90007.093] , Projects, 0.000292
[90007.093] , SmallAwards, 0.000013
[90007.093] , Specialists, 0.000171
[90007.093] , Victories, 0.000070
[90007.093] , Votes, 0.000044
[90007.093] , VoteSources, 0.000023
[90007.093] , Domains, 0.000019
[90007.093] , Leaders, 0.007717
[90007.093] , Routes, 0.000100
[90007.093] , Notifications, 0.000088
[90007.093] , Technologies, 0.005406
[90007.093] , Features, 0.000969
[90007.109] , Improvements, 0.004240
[90007.109] , ResourceClasses, 0.000017
[90007.109] , Resources, 0.002613
[90007.109] , Terrains, 0.000272
[90007.109] , Yields, 0.000042
[90007.109] , Automates, 0.000040
[90007.109] , Builds, 0.001867
[90007.109] , Commands, 0.000088
[90007.109] , Controls, 0.000228
[90007.109] , EntityEvents, 0.000586
[90007.109] , Missions, 0.000354
[90007.109] , MultiUnitFormations, 0.000562
[90007.109] , SpecialUnits, 0.000103
[90007.109] , UnitClasses, 0.000234
[90007.125] , UnitPromotions, 0.016866
[90007.171] , Units, 0.035377
[90007.171] , Civilizations, 0.014120
[90007.187] , MinorCivilizations, 0.002036
[90007.187] , Traits, 0.005865
[90007.187] , Religions, 0.000054
[90007.203] , Beliefs, 0.012442
[90007.203] , LeagueSpecialSessions, 0.000046
[90007.203] , LeagueNames, 0.000014
[90007.203] , LeagueProjects, 0.000032
[90007.203] , LeagueProjectRewards, 0.000054
[90007.203] , Resolutions, 0.000187
[90007.203] , PrefetchGameData, 0.192044
[90007.203] , UpdatePlayableCivilizationCounts, 0.000001
[90007.203] , SetGlobalActionInfo, 0.000093
[90024.234] , Colors, 0.000303
